,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
858,Saad Nasim ,2014,3,2,0,44,25,22,53,83,0,0,0,0,1,PAK
859,S Badree ,2012,52,16,10,43,14,7,65,66,0,0,0,1,1,WI
860,S Badrinath ,2011,1,1,0,43,43,43,37,116,0,0,0,5,0,INDIA
862,NO Miller ,2009,9,5,4,43,15,43,47,91,0,0,0,2,0,WI
864,Mustafizur Rahman ,2015,37,15,5,43,15,4,55,78,0,0,4,3,3,BDESH
865,Saad Bin Zafar ,2019,11,4,1,43,20,14,33,130,0,0,0,3,2,CAN
866,M Sohel Patel ,2019,2,2,0,43,40,21,39,110,0,0,0,2,3,PNM
867,Amjad Ali ,2014,5,5,1,42,20,10,52,80,0,0,0,6,0,UAE
869,NG Jones ,2010,5,4,2,42,14,21,38,110,0,0,1,1,2,IRE
872,LE Plunkett ,2006,22,11,4,42,18,6,34,123,0,0,3,3,1,ENG
873,AT Rayudu ,2014,6,5,1,42,20,10,50,84,0,0,2,5,0,INDIA
874,M Sert ,2019,4,4,1,42,16,14,59,71,0,0,0,5,0,TKY
875,DC Stovell ,2019,6,6,1,42,18,8,50,84,0,0,1,5,0,BMUDA
878,Abdul-Shakoor Rahimzei ,2019,7,5,1,41,17,10,33,124,0,0,0,2,1,GER
879,Abdur Razzak ,2006,34,20,10,41,9,4,74,55,0,0,5,1,0,BDESH
880,Ainool Hafizs ,2019,3,3,0,41,21,13,39,105,0,0,0,3,1,MAL
881,A Ashokan ,2019,2,2,0,41,34,20,29,141,0,0,0,2,3,CZK-R
882,K Jethi ,2008,5,5,1,41,24,10,59,69,0,0,1,0,2,CAN
884,B Mavuta ,2018,3,3,2,41,28,41,23,178,0,0,0,3,2,ZIM
885,D Muhumuza ,2019,4,4,0,41,28,10,36,113,0,0,1,3,1,UGA
887,K Pala ,2015,2,2,1,41,22,41,30,136,0,0,0,4,2,PNG
888,Amir Hamza ,2013,31,9,5,40,21,10,38,105,0,0,1,3,1,AFG
889,TS Chisoro ,2015,12,6,2,40,14,10,42,95,0,0,0,2,2,ZIM
890,BCJ Cutting ,2013,7,5,1,40,29,10,27,148,0,0,1,2,3,AUS
891,Fitri Sham ,2019,15,10,4,40,15,6,56,71,0,0,0,2,0,MAL
892,Imran Bulbulia ,2019,3,3,0,40,32,13,42,95,0,0,1,4,1,PNM
894,E Packard ,2019,4,4,0,40,26,10,49,81,0,0,0,2,1,GIBR
895,S Ravikumar ,2019,3,3,1,40,29,20,44,90,0,0,1,3,1,CRC
896,Sahibzada Farhan ,2018,3,3,0,40,39,13,46,86,0,0,1,2,3,PAK
897,F Stoman ,2019,4,4,1,40,21,13,61,65,0,0,0,1,1,PORT
898,Talha Khan ,2019,1,1,1,40,40,0,41,97,0,0,0,4,0,GER
899,Tariq Aziz ,2019,4,4,1,40,23,13,47,85,0,0,1,1,2,PORT
900,KDK Vithanage ,2014,3,3,0,40,38,13,34,117,0,0,0,7,0,SL
901,RR David ,2008,4,4,0,39,17,9,65,60,0,0,0,2,1,CAN
902,Imran Khan ,2019,4,3,1,39,36,19,32,121,0,0,0,2,3,PORT
903,Munir Dar ,2014,2,2,0,39,36,19,33,118,0,0,0,3,1,HKG
904,Rafatullah Mohmand ,2015,3,3,0,39,23,13,45,86,0,0,1,4,0,PAK
906,S Tobgay ,2019,2,2,0,39,24,19,58,67,0,0,0,1,0,BHU
907,PA van Meekeren ,2013,41,9,1,39,18,4,40,97,0,0,3,0,3,NL
908,RI Ahmed ,2015,2,2,0,38,25,19,50,76,0,0,0,2,0,NL
910,R Flannigan ,2012,4,4,1,38,18,12,33,115,0,0,1,4,0,SCOT
911,D Kansonkho ,2019,7,4,0,38,21,9,47,80,0,0,2,5,0,MWI
912,AK Kitchen ,2017,5,4,1,38,16,12,32,118,0,0,0,3,1,NZ
914,Mohammad Amin ,2019,4,4,2,38,15,19,39,97,0,0,0,5,0,KUW
915,D Mongia ,2006,1,1,0,38,38,38,45,84,0,0,0,4,1,INDIA
916,F Mutizwa ,2011,3,3,0,38,22,12,36,105,0,0,1,3,0,ZIM
918,BJ Watling ,2009,5,4,0,38,22,9,58,65,0,0,0,3,0,NZ
919,SJ Benn ,2008,24,7,4,37,13,12,42,88,0,0,1,5,1,WI
920,VD Chandra ,2019,3,2,0,37,26,18,30,123,0,0,0,3,3,PNM
921,I Danladi ,2019,3,2,0,37,37,18,38,97,0,0,1,4,1,NGA
922,CJ Delany ,2019,4,4,0,37,21,9,60,61,0,0,1,2,0,GIBR
923,JS Foster ,2009,5,5,2,37,14,12,32,115,0,0,0,0,1,ENG
