,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
1739,WJR Robertson ,2019,6,2,2,1,1,0,2,50,0,0,0,0,0,JER
1741,O Sam Arthur ,2019,3,2,1,1,1,1,1,100,0,0,0,0,0,CRC
1742,Sandeep Sharma ,2015,2,1,1,1,1,0,1,100,0,0,0,0,0,INDIA
1744,Sayed Shirzad ,2015,4,1,0,1,1,1,2,50,0,0,0,0,0,AFG
1745,ZK Shem ,2019,5,2,2,1,1,0,4,25,0,0,0,0,0,VAN
1746,PM Siddle ,2009,2,1,1,1,1,0,1,100,0,0,0,0,0,AUS
1748,Sohail Khan ,2008,5,1,1,1,1,0,1,100,0,0,0,0,0,PAK
1749,Sohrawordi Shuvo ,2010,1,1,1,1,1,0,3,33,0,0,0,0,0,BDESH
1750,AL Stephen ,2019,2,1,0,1,1,1,2,50,0,0,0,0,0,VAN
1751,EP Thompson ,2008,1,1,1,1,1,0,1,100,0,0,0,0,0,NZ
1752,RJW Topley ,2015,6,1,1,1,1,0,2,50,0,0,0,0,0,ENG
1753,TE Tucker ,2008,1,1,0,1,1,1,5,20,0,0,0,0,0,BMUDA
1754,T Turan ,2019,4,4,0,1,1,0,17,5,0,0,3,0,0,TKY
1756,I Wardlaw ,2013,4,1,0,1,1,1,3,33,0,0,0,0,0,SCOT
1757,Wasim Ali ,2019,1,1,0,1,1,1,4,25,0,0,0,0,0,OMAN
1758,G Wijekoon ,2007,3,2,1,1,1,1,5,20,0,0,1,0,0,SL
1759,JD Wildermuth ,2018,2,1,1,1,1,0,1,100,0,0,0,0,0,AUS
1760,Yamin Ahmadzai ,2015,2,1,1,1,1,0,1,100,0,0,0,0,0,AFG
1762,Zeeshan Abbas ,2019,1,1,0,1,1,1,4,25,0,0,0,0,0,BAH
1763,Abdul Shakoor ,2019,2,1,0,0,0,0,3,0,0,0,1,0,0,ROM
1764,AS Abioye ,2019,5,1,1,0,0,0,0,0,0,0,0,0,0,NGA
1765,Aizaz Cheema ,2011,5,1,1,0,0,0,3,0,0,0,0,0,0,PAK
1766,C Akyuz ,2019,2,2,0,0,0,0,3,0,0,0,2,0,0,TKY
1767,Ali Naqi ,2019,4,1,1,0,0,0,0,0,0,0,0,0,0,PORT
1768,MA Aponso ,2018,3,1,0,0,0,0,2,0,0,0,1,0,0,SL
1769,S Arachchige ,2019,4,1,0,0,0,0,2,0,0,0,1,0,0,ITA
1771,SK Atai ,2019,2,1,0,0,0,0,1,0,0,0,1,0,0,PNG
1772,MS Aulakh ,2012,3,1,0,0,0,0,2,0,0,0,1,0,0,CAN
1773,CT Bancroft ,2016,1,1,1,0,0,0,0,0,0,0,0,0,0,AUS
1774,M Bhanuka ,2019,2,1,0,0,0,0,1,0,0,0,1,0,0,SL
1775,IDR Bradshaw ,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,WI
1776,DR Briggs ,2012,7,1,1,0,0,0,0,0,0,0,0,0,0,ENG
1777,AF Buurman ,2010,4,2,0,0,0,0,4,0,0,0,2,0,0,NL
1778,PP Chawla ,2010,7,1,0,0,0,0,1,0,0,0,1,0,0,INDIA
1779,DO Christian ,2011,2,1,0,0,0,0,2,0,0,0,1,0,0,WI
1781,S Dalton ,2019,3,1,0,0,0,0,1,0,0,0,1,0,0,CZK-R
1782,N Dipakkumar Patel ,2019,3,1,0,0,0,0,0,0,0,0,1,0,0,PNM
1783,JN Dorji ,2019,1,1,0,0,0,0,0,0,0,0,1,0,0,BHU
1784,Ehsan Nawaz ,2014,5,1,0,0,0,0,2,0,0,0,1,0,0,HKG
1785,M Faheem ,2019,4,1,0,0,0,0,2,0,0,0,1,0,0,THAI
1786,Fakhrul Mohon ,2019,4,1,0,0,0,0,0,0,0,0,1,0,0,PORT
1787,Fiaz Ahmad ,2019,3,1,1,0,0,0,0,0,0,0,0,0,0,KUW
1789,Gershon Yusuf ,2019,1,1,0,0,0,0,1,0,0,0,1,0,0,NGA
1790,L Gharasim ,2019,2,1,0,0,0,0,1,0,0,0,1,0,0,ROM
1791,M Goonetilleke ,2019,1,1,0,0,0,0,1,0,0,0,1,0,0,MALTA
1792,SM Harwood ,2007,3,1,1,0,0,0,0,0,0,0,0,0,0,AUS
1793,T Henderson ,2006,1,1,0,0,0,0,2,0,0,0,1,0,0,SA
1794,KC Hodsoll ,2008,1,1,0,0,0,0,1,0,0,0,1,0,0,BMUDA
1795,Imran Khan ,2015,3,1,0,0,0,0,1,0,0,0,1,0,0,1) (PAK
1796,P Kerai ,2019,6,1,0,0,0,0,1,0,0,0,1,0,0,KENYA
1797,S Keshvani ,2010,2,1,1,0,0,0,1,0,0,0,0,0,0,CAN
1798,RN Lewis ,2008,1,1,0,0,0,0,4,0,0,0,1,0,0,WI
1800,K Loday ,2019,1,1,1,0,0,0,1,0,0,0,0,0,0,BHU
1801,AJ McKay ,2010,2,1,0,0,0,0,1,0,0,0,1,0,0,NZ
1802,GI Maiden ,2008,3,1,0,0,0,0,1,0,0,0,1,0,0,SCOT
1805,A Mehmood ,2016,2,1,1,0,0,0,1,0,0,0,0,0,0,HKG
1806,Michael Nazir ,2019,1,1,0,0,0,0,2,0,0,0,1,0,0,MALTA
1807,TS Mills ,2016,5,1,0,0,0,0,2,0,0,0,1,0,0,ENG
1808,A Mishra ,2010,10,1,0,0,0,0,0,0,0,0,1,0,0,INDIA
1809,Mohameed Taiwo ,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,NGA
1810,Mohammad Kashif ,2010,3,1,1,0,0,0,0,0,0,0,0,0,0,NL
1811,Mohammad Qazi ,2008,1,1,0,0,0,0,1,0,0,0,1,0,0,CAN
1812,Mohammed Nadeem ,2019,15,2,2,0,0,0,1,0,0,0,0,0,0,QAT
1813,HJC Mol ,2008,4,1,0,0,0,0,1,0,0,0,1,0,0,NL
1814,JK Mukhiya ,2014,4,1,1,0,0,0,0,0,0,0,0,0,0,NEPAL
1815,Musa Shaheen ,2019,1,1,0,0,0,0,3,0,0,0,1,0,0,DEN
1816,T Muzarabani ,2015,9,1,1,0,0,0,2,0,0,0,0,0,0,ZIM
1817,Naveed Ahmed ,2019,7,1,0,0,0,0,1,0,0,0,1,0,0,CZK-R
1818,Nawaf Ahmed ,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,KUW
1819,A Nel ,2005,2,1,1,0,0,0,2,0,0,0,0,0,0,SA
1820,AA Noffke ,2007,2,1,0,0,0,0,0,0,0,0,1,0,0,AUS
1822,L Nussbaumer ,2019,1,1,0,0,0,0,1,0,0,0,1,0,0,GUE
1823,A Orfila ,2019,1,1,0,0,0,0,2,0,0,0,1,0,0,GIBR
1824,MM Patel ,2011,3,1,0,0,0,0,1,0,0,0,1,0,0,INDIA
1825,PDRL Perera ,2006,2,2,2,0,0,0,0,0,0,0,0,0,0,SL
1828,DM Richards ,2009,1,1,0,0,0,0,1,0,0,0,1,0,0,WI
1830,Rumman Raees ,2016,8,1,1,0,0,0,0,0,0,0,0,0,0,PAK
1831,NA Saini ,2019,5,1,1,0,0,0,1,0,0,0,0,0,0,INDIA
1832,Sajid Liaqat ,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,GER
1833,K Santokie ,2011,12,1,1,0,0,0,0,0,0,0,0,0,0,WI
1834,I Sawmy ,2019,2,2,1,0,0,0,2,0,0,0,1,0,0,DEN
1835,Shaheen Shah Afridi ,2018,10,1,1,0,0,0,2,0,0,0,0,0,0,PAK
1836,A Shahzad ,2010,3,1,1,0,0,0,3,0,0,0,0,0,0,ENG
1837,Shakeel Ansar ,2012,2,1,0,0,0,0,1,0,0,0,1,0,0,PAK
1838,T Shamsi ,2017,16,3,2,0,0,0,5,0,0,0,1,0,0,SA
1839,B Shikongo ,2019,11,1,0,0,0,0,1,0,0,0,1,0,0,NAM
1841,M Simmons ,2019,2,1,0,0,0,0,2,0,0,0,1,0,0,BMUDA
1843,MS Sinclair ,2005,2,2,0,0,0,0,5,0,0,0,2,0,0,NZ
1844,S Singh ,2019,1,1,0,0,0,0,9,0,0,0,1,0,0,PORT
1845,L Sipamla ,2019,5,1,0,0,0,0,1,0,0,0,1,0,0,SA
1847,ES Soto ,2019,1,1,0,0,0,0,2,0,0,0,1,0,0,CRC
1848,L Sreekumar ,2017,1,1,0,0,0,0,1,0,0,0,1,0,0,UAE
1849,H Ssenyondo ,2019,4,1,1,0,0,0,0,0,0,0,0,0,0,UGA
1850,Taijul Islam ,2019,2,1,1,0,0,0,1,0,0,0,0,0,0,BDESH
1852,M Zondeki ,2006,1,1,0,0,0,0,1,0,0,0,1,0,0,SA
1853,Zulqarnain Haider ,2019,5,1,0,0,0,0,0,0,0,0,1,0,0,ESP
1854,YA Abdulla ,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,SA
1855,Abdur Rauf ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1856,RA Abolarin ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,NGA
1857,F Achelam ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,UGA
1858,GW Aldridge ,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,NZ
1859,TR Ambrose ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1861,S Aravind ,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1862,JC Archer ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1863,Arsalan Qadir ,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,CAN
1864,Asad Ali ,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1865,Atif Ali Khan ,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,UAE
1866,P Awana ,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1867,LS Baker ,2008,3,0,0,0,0,0,0,0,0,0,0,0,0,WI
1868,L Balaji ,2012,5,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1869,JT Ball ,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1871,TC Bastiampillai ,2010,2,0,0,0,0,0,0,0,0,0,0,0,0,CAN
1872,MD Bates ,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,NZ
1873,D Bau ,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,PNG
1874,JP Behrendorff ,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1875,CC Blake ,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,VAN
1876,N Boje ,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,SA
1877,SM Boland ,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1878,CG Burnett ,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
1879,DK Butler ,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,WI
1880,RD Chahar ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1881,N Chejay ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,BHU
1882,C Chete ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,MWI
1883,SR Clark ,2006,9,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1884,MS Crane ,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1885,D Daesrath ,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,CAN
1886,M de Lange ,2012,6,0,0,0,0,0,0,0,0,0,0,0,0,SA
1887,SI de Saram ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,SL
1888,BJ Diamanti ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,NZ
1890,K Dorji ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,BHU
1891,PS Eaglestone ,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,IRE
1892,BT Foakes ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1893,BC Fortuin ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,SA
1894,O Fournier ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,CRC
1895,R Frylinck ,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,SA
1896,ST Gabriel ,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,WI
1898,B Geeves ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1899,S Goud ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,CZK-R
1900,D Gough ,2005,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1901,HF Gurney ,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1902,Hamza Tahir ,2018,11,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
1903,SJ Harmison ,2005,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1904,RJ Hatchman ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,GIBR
1905,JR Hazlewood ,2013,7,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1908,Iftikhar Anjum ,2007,2,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1909,Imran Ashraf ,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,QAT
1910,D Jakiel ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,ZIM
1911,Joginder Sharma ,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1913,Jubair Hossain ,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,BDESH
1914,TP Kamungozi ,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,ZIM
1915,M Kartik ,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1916,S Kaul ,2018,3,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1917,UKPW Kumaranayaka ,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,KUW
1918,B Laughlin ,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1919,E Leie ,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,SA
1920,RDM Leverock ,2008,2,0,0,0,0,0,0,0,0,0,0,0,0,BMUDA
1921,ML Lewis ,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,AUS
1922,DSK Madushanka ,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,SL
1923,GT Main ,2015,4,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
1924,Mansoor Amjad ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1925,M Markande ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1926,A Martin ,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,WI
1927,B Masaba ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,UGA
1928,WT Mashinge ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,ZIM
1929,GJ McCarter ,2015,3,0,0,0,0,0,0,0,0,0,0,0,0,IRE
1930,SC Meaker ,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1932,Mohammad Shahid ,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,BDESH
1933,Mohammed Shami ,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1934,Mohammed Siraj ,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1935,GMC Mol ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,NL
1936,Muhammad Amir ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,MAL
1937,Muhammad Musa ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1938,Mukhtiar Singh ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,ESP
1939,Musawar Shah ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,QAT
1940,M Mwamadi ,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,MWI
1942,Nasir Aziz ,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,UAE
1943,NH Naureen ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,ESP
1945,P Negi ,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1946,A Neill ,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
1947,R Ngarava ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,ZIM
1949,F Nkhoma ,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,MWI
1950,A Nortje ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,SA
1951,IE O'Brien ,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,NZ
1952,E Ochieng ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,KENYA
1953,RJG Palmer ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,JER
1954,MA Parker ,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
1955,MW Parkinson ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1956,AY Patel ,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,NZ
1957,J Perman ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,ESP
1958,V Permaul ,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,WI
1959,R Pisal ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,ROM
1960,KTGD Prasad ,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,SL
1961,M Pushpakumara ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,SL
1962,S Qeshile ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,SA
1963,Raja Adeel ,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,ESP
1964,Rashid Khan ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,NEPAL
1966,Robiul Islam ,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,BDESH
1967,Rokhan Barakzai ,2015,3,0,0,0,0,0,0,0,0,0,0,0,0,AFG
1968,AK Sah ,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,NEPAL
1969,Sajedul Islam ,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,BDESH
1970,Saqlain Sajib ,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,BDESH
1971,JD Schoonheim ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,NL
1972,K Senamontree ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,THAI
1973,Shabbir Ahmed ,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1975,Sharif Asadullah ,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,UAE
1976,KV Sharma ,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1977,R Sharma ,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1979,S Singh ,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,PHI
1981,BB Sran ,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1982,H Srinivasan ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,GER
1984,P Syafiq Ali ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,MAL
1985,Tanvir Ahmed ,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
1986,SN Thakur ,2018,7,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1987,J Thinley ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,BHU
1988,AC Thomas ,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,SA
1989,DC Thomas ,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,WI
1990,GC Tonge ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,WI
1991,CT Tremlett ,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,ENG
1992,S Tyagi ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1993,JD Unadkat ,2016,10,0,0,0,0,0,0,0,0,0,0,0,0,INDIA
1994,MB van Schelven ,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,NL
1995,Vichanath Singh ,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,THAI
1996,DJ Vilas ,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,SA
1997,Vimal Kumar ,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,PHI
1998,Vishal Ahir ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,PNM
1999,Waqas Maqsood ,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,PAK
2000,SR Welsh ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,CAN
2001,SG Whittingham ,2018,3,0,0,0,0,0,0,0,0,0,0,0,0,SCOT
2002,LJ Woodcock ,2010,3,0,0,0,0,0,0,0,0,0,0,0,0,NZ
2003,Zamir Khan ,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,AFG
2005,Ziaur Rahman ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,AFG
